Year,Year-Month,Area (SQM),Total Resale Price,Average Resale Price,Median Resale Price,Flat_Type,Sales,Unit Area (PSF)
2013,2013-05,67.75928144,183546384,366360.0479,355000,3 ROOM,501,502.307498
2013,2013-05,95.82003367,291497578,490736.6633,465000,4 ROOM,594,475.7979123
2013,2013-05,118.5655977,196275428,572231.5685,540000,5 ROOM,343,448.3771414
2013,2013-05,144.4285714,98196052,668000.3537,643000,EXECUTIVE,147,429.6886899
2013,2013-06,31,245000,245000,245000,1 ROOM,1,734.2344138
2013,2013-06,45.10526316,5203800,273884.2105,275000,2 ROOM,19,564.1182117
2013,2013-06,68.23450882,144784988,364697.7028,355888,3 ROOM,397,496.5457896
2013,2013-06,96.38067061,245368620,483961.7751,461000,4 ROOM,507,466.4998011
2013,2013-06,119.6020067,171119692,572306.6622,533000,5 ROOM,299,444.5500678
2013,2013-06,144.5698925,61619876,662579.3118,665000,EXECUTIVE,93,425.7850015
2013,2013-06,164,767000,767000,767000,MULTI-GENERATION,1,434.4920771
2013,2013-07,46.19047619,5735890,273137.619,270000,2 ROOM,21,549.3630245
2013,2013-07,68.30212264,153154526,361213.5047,354000,3 ROOM,424,491.3151137
2013,2013-07,96.40615114,273274048,480270.7346,460000,4 ROOM,569,462.8195807
2013,2013-07,118.6512968,196066130,565032.0749,538000,5 ROOM,347,442.4161359
2013,2013-07,145.7886179,82794254,673124.0163,655000,EXECUTIVE,123,428.9452005
2013,2013-08,31,257000,257000,257000,1 ROOM,1,770.1969157
2013,2013-08,46.9,2849000,284900,274000,2 ROOM,10,564.3518488
2013,2013-08,68.27402913,149594231.4,363092.7947,355000,3 ROOM,412,494.074504
2013,2013-08,95.97475728,248278820,482094.7961,460000,4 ROOM,515,466.6655769
2013,2013-08,118.5551948,177260592,575521.4026,540000,5 ROOM,308,450.9944901
2013,2013-08,144.5794393,70439952,658317.3084,640000,EXECUTIVE,107,423.0182296
2013,2013-08,147,753888,753888,753888,MULTI-GENERATION,1,476.4527537
2013,2013-09,31,230000,230000,230000,1 ROOM,1,689.2812864
2013,2013-09,45,3988500,284892.8571,280000,2 ROOM,14,588.1652915
2013,2013-09,67.92613333,134757216,359352.576,350000,3 ROOM,375,491.4894668
2013,2013-09,95.51634409,220349654,473870.2237,450000,4 ROOM,465,460.9056949
2013,2013-09,119.3115385,149102130,573469.7308,540000,5 ROOM,260,446.537976
2013,2013-09,145.0309278,64449716,664430.0619,650000,EXECUTIVE,97,425.6170272
2013,2013-10,31,230500,230500,230500,1 ROOM,1,690.779724
2013,2013-10,46.81818182,6085388,276608.5455,276500,2 ROOM,22,548.8850407
2013,2013-10,67.87268519,153692632,355769.9815,345000,3 ROOM,432,486.9727007
2013,2013-10,95.79101563,242977114,474564.6758,450000,4 ROOM,512,460.257608
2013,2013-10,120.3535032,176790141,563025.9268,530500,5 ROOM,314,434.6102891
2013,2013-10,144.1926606,73023940,669944.4037,655000,EXECUTIVE,109,431.6442441
2013,2013-10,164,703000,703000,703000,MULTI-GENERATION,1,398.2371971
2013,2013-11,44.75,4321000,270062.5,271500,2 ROOM,16,560.6626038
2013,2013-11,67.77717391,130941340,355818.8587,343000,3 ROOM,368,487.725937
2013,2013-11,96.62925852,235355775,471654.8597,446800,4 ROOM,499,453.4673387
2013,2013-11,118.9422222,124914929,555177.4622,522000,5 ROOM,225,433.6367938
2013,2013-11,146.6138614,66704546,660441.0495,640000,EXECUTIVE,101,418.4941317
2013,2013-12,46.4,4052688,270179.2,263000,2 ROOM,15,540.9589077
2013,2013-12,67.57843137,107884904,352565.0458,341500,3 ROOM,306,484.6871343
2013,2013-12,95.85995086,190707222,468568.113,445000,4 ROOM,407,454.1150281
2013,2013-12,119.64,113575854,567879.27,530944,5 ROOM,200,440.970926
2013,2013-12,145.95,52392164,654902.05,642500,EXECUTIVE,80,416.8718755
2014,2014-01,31,478500,239250,239250,1 ROOM,2,717.0023816
2014,2014-01,45.83333333,3284500,273708.3333,270250,2 ROOM,12,554.8006003
2014,2014-01,68.25740741,132947316,351712.4762,341194,3 ROOM,378,478.7054051
2014,2014-01,95.65291262,189956255,461058.8714,445000,4 ROOM,412,447.8045785
2014,2014-01,120.0758929,124201517,554471.058,515000,5 ROOM,224,428.9961582
2014,2014-01,145.0714286,46143476,659192.5143,642500,EXECUTIVE,70,422.144101
2014,2014-02,31,473000,236500,236500,1 ROOM,2,708.7609749
2014,2014-02,44.36363636,2870000,260909.0909,265000,2 ROOM,11,546.377014
2014,2014-02,67.91721854,103920380.8,344107.2212,335000,3 ROOM,302,470.7000457
2014,2014-02,95.66075949,181769850.9,460176.8377,439000,4 ROOM,395,446.9112388
2014,2014-02,119.1712707,99050440,547240,520000,5 ROOM,181,426.6154796
2014,2014-02,144.8970588,43487163,639517.1029,629000,EXECUTIVE,68,410.0368977
2014,2014-03,45.04545455,5744000,261090.9091,263000,2 ROOM,22,538.4819154
2014,2014-03,68.53586498,165093168,348297.8228,338000,3 ROOM,474,472.1317501
2014,2014-03,95.89703316,263259737,459441.0768,440000,4 ROOM,573,445.0973365
2014,2014-03,118.7162162,161901016,546962.8919,517750,5 ROOM,296,428.0338965
2014,2014-03,144.4358974,50183776,643381.7436,622000,EXECUTIVE,78,413.8318712
2014,2014-03,164,730000,730000,730000,MULTI-GENERATION,1,413.5322246
2014,2014-04,45.05,5308000,265400,265000,2 ROOM,20,547.3138885
2014,2014-04,68.15717017,182091508,348167.3193,340000,3 ROOM,523,474.5771225
2014,2014-04,95.71301248,255760620,455901.2834,433000,4 ROOM,561,442.5172196
2014,2014-04,118.9971591,193810969,550599.3438,515000,5 ROOM,352,429.8623828
2014,2014-04,142.0792079,65181240,645358.8119,623000,EXECUTIVE,101,421.9889343
2014,2014-05,31,235000,235000,235000,1 ROOM,1,704.2656622
2014,2014-05,48.27777778,4906000,272555.5556,270500,2 ROOM,18,524.4910878
2014,2014-05,68.3661435,153382401,343906.7287,332000,3 ROOM,446,467.3367526
